"Title","Severity","Published At","Diclosed At","Affected CSPs","URL","Source"
"GuardDuty detection bypass via cloudtrail","Low","2020/04/23","2020/04/23","AWS","https://www.cloudvulndb.org/guardduty-cloudtrail-bypass","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/guardduty-cloudtrail-bypass.yaml"
"Hell's Keychain","Critical","2022/12/01","2022/08/25","IBM","https://www.cloudvulndb.org/hellskeychain","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/hellskeychain.yaml"
"Lack of internal change controls for IAM managed policies","Low","2020/10/15","2020/10/15","AWS","https://www.cloudvulndb.org/iam-managed-policies-lack-controls","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/iam-managed-policies-lack-controls.yaml"
"MFA enforcement IAM policy bypass","Low","2023/04/25","2023/01/19","AWS","https://www.cloudvulndb.org/iam-multiple-mfa","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/iam-multiple-mfa.yaml"
"Bypassable and overly-privileged IAM policies","Medium","2017/11/07","2017/11/07","AWS","https://www.cloudvulndb.org/iam-policies-bypass-overprivileged","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/iam-policies-bypass-overprivileged.yaml"
"Lake Formation data lake admin override","High","2019/08/15","2019/08/15","AWS","https://www.cloudvulndb.org/lake_admin_override","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/lake_admin_override.yaml"
"Timing attack with Lambda and CloudWatch Synthetics","Low","2020/09/15","2020/09/15","AWS","https://www.cloudvulndb.org/lambda-cloudwatch-timing-attack","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/lambda-cloudwatch-timing-attack.yaml"
"Lightsail object storage access keys logged","Medium","2021/08/05","2021/08/05","AWS","https://www.cloudvulndb.org/lightsail-keys-logged","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/lightsail-keys-logged.yaml"
"Azure privilege escalation via Log Analytics role","Medium","2021/09/13","2020/10/15","Azure","https://www.cloudvulndb.org/log-analytics-role-privesc","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/log-analytics-role-privesc.yaml"
"Log4Shell Hot Patch Vulnerable to Container Escape and Privilege Escalation","High","2022/04/19","2021/12/14","AWS","https://www.cloudvulndb.org/log4shell-hotpatch","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/log4shell-hotpatch.yaml"
"MWAA logs leak tokens and hostnames","Low","2022/05/31","2022/05/11","AWS","https://www.cloudvulndb.org/mwaa-leaky-logs","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/mwaa-leaky-logs.yaml"
"nOAuth","Medium","2023/06/20","2023/04/11","Azure","https://www.cloudvulndb.org/noauth","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/noauth.yaml"
"Azure NotLegit","High","2021/10/07","2021/12/21","Azure","https://www.cloudvulndb.org/notlegit","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/notlegit.yaml"
"OMIGOD","Critical","2021/06/01","2021/09/14","Azure","https://www.cloudvulndb.org/omigod","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/omigod.yaml"
"Overprivileged AWS support IAM role policy","Medium","2021/12/22","2021/12/21","AWS","https://www.cloudvulndb.org/overprivileged-aws-support-iam","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/overprivileged-aws-support-iam.yaml"
"Power Platform Custom Code information disclosure","High","2023/08/04","2023/03/30","Azure","https://www.cloudvulndb.org/power-platform-info-leak","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/power-platform-info-leak.yaml"
"Enumeration of Privileges Without Being Logged to CloudTrail","Low","2020/10/17","2020/09/02","AWS","https://www.cloudvulndb.org/privilege-identification-cloudtrail","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/privilege-identification-cloudtrail.yaml"
"ECR Public vulnerability in undocumented API","Critical","2022/12/13","2022/11/15","AWS","https://www.cloudvulndb.org/public-ecr-undocumented-api","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/public-ecr-undocumented-api.yaml"
"RCE in Google Cloud Deployment Manager","High","2020/05/21","2020/05/07","GCP","https://www.cloudvulndb.org/rce-in-cloud-dm","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/rce-in-cloud-dm.yaml"
"Resource policy confused deputy issue with services","Low","2018/11/28","2018/11/28","AWS","https://www.cloudvulndb.org/resource-policy-confused-deputy","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/resource-policy-confused-deputy.yaml"
"S3 bucket tagging not restricted","Low","2020/09/28","2020/09/28","AWS","https://www.cloudvulndb.org/s3-bucket-tagging-not-restricted","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/s3-bucket-tagging-not-restricted.yaml"
"S3 Crypto SDK vulnerabilities","Low","2020/08/10","2020/07/01","AWS","https://www.cloudvulndb.org/s3-crypto-sdk","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/s3-crypto-sdk.yaml"
"S3 Replication only logs first destination bucket","Low","2022/07/20","2021/10/19","AWS","https://www.cloudvulndb.org/s3-replicator-cloudtrail","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/s3-replicator-cloudtrail.yaml"
"AWS SageMaker Jupyter Notebook instance CSRF","Medium","2021/12/02","2021/12/02","AWS","https://www.cloudvulndb.org/sagemaker-jupyter-csrf","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/sagemaker-jupyter-csrf.yaml"
"SNS SigningCertUrl improper validation","Medium","2022/08/19","","AWS","https://www.cloudvulndb.org/sns-signingcerturl-improper-validation","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/sns-signingcerturl-improper-validation.yaml"
"SSRF in Google Cloud Monitoring","Medium","2020/11/12","2020/06","GCP","https://www.cloudvulndb.org/ssrf-in-google-cloud-monitoring","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/ssrf-in-google-cloud-monitoring.yaml"
"SuperGlue","Critical","2022/01/13","2021/09/30","AWS","https://www.cloudvulndb.org/superglue","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/superglue.yaml"
"Privilege escalation and file poisoning in Synapse Analytics","Medium","2022/06/13","2022/03/10","Azure","https://www.cloudvulndb.org/synapse-pwnalytics","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/synapse-pwnalytics.yaml"
"Synapse Spark LPE","Medium","2022/09/01","2022/06/01","Azure","https://www.cloudvulndb.org/synapse-spark-lpe","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/synapse-spark-lpe.yaml"
"Synlapse","Critical","2022/05/09","2022/01/04","Azure","https://www.cloudvulndb.org/synlapse","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/synlapse.yaml"
"AWS AI services ToS allow sharing of customer data","","2022/01/06","2020/07/08","AWS","https://www.cloudvulndb.org/terms-conditions-customer-data","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/terms-conditions-customer-data.yaml"
"VPC Hosted Zones unauditable","Low","2019/05/24","2019/05/13","AWS","https://www.cloudvulndb.org/vpc-hosted-zones-unauditable","https://raw.githubusercontent.com/wiz-sec/open-cvdb/main/vulnerabilities/vpc-hosted-zones-unauditable.yaml"
